Column1,Column2,Column3
1,2,0.012060318
1,3,0.008625823
1,4,0.034152155
1,5,0.017923692
1,6,0.012088655
1,7,0.019744786
1,8,0.004882472
1,9,0.038429537
1,10,0.00919242
1,11,0.001938072
1,12,0.017655795
1,13,0.022048784
1,14,0.01523075
1,15,0.001676528
1,16,0.006189631
1,17,0.007160132
1,18,0.013995516
1,19,0.008859541
1,20,0.006720001
1,21,0.002498205
1,22,0.005298203
1,23,0.002340383
1,24,0.003211391
1,25,0.012871329
1,26,0.006357841
1,27,0.00459283
1,28,0.009254403
1,29,0.001815718
1,30,0.0036051
1,31,0.018112902
1,32,0.002953572
1,33,0.003610541
1,34,0.002612977
1,35,1.61265E-05
1,36,0.005719222
1,37,0.000866278
1,38,0.001001215
1,39,0.00080432
2,3,0.005736612
2,4,0.029065953
2,5,0.005606925
2,6,0.01396472
2,7,0.009290436
2,8,0.004727722
2,9,0.035392578
2,10,0.007786689
2,11,0.006054689
2,12,0.009502647
2,13,0.023687616
2,14,0.009779242
2,15,0.003788418
2,16,0.004666528
2,17,0.00981972
2,18,0.045687552
2,19,0.002848282
2,20,0.002533279
2,21,0.002432781
2,22,0.001848371
2,23,0.024518772
2,24,0.013062883
2,25,0.001391041
2,26,0.002268454
2,27,0.008375701
2,28,0.004360163
2,29,0.002720487
2,30,0.007856885
2,31,0.008538026
2,32,0.000930989
2,33,0.002323231
2,34,0.002458704
2,35,0.00279747
2,36,0.001679144
2,37,0.002253487
2,38,0.001963233
2,39,0.000942446
3,4,0.017848996
3,5,0.017831998
3,6,0.02191758
3,7,0.009061407
3,8,0.006525009
3,9,0.016267364
3,10,0.033704385
3,11,0.004328146
3,12,0.003840645
3,13,0.015657004
3,14,0.001970676
3,15,0.00765063
3,16,0.050888104
3,17,0.002399106
3,18,0.003786061
3,19,0.005030242
3,20,0.001772951
3,21,0.003696944
3,22,0.003093461
3,23,0.002103404
3,24,0.001068372
3,25,0.006901423
3,26,0.0009328
3,27,0.027920991
3,28,0.004221236
3,29,0.001621463
3,30,0.013095093
3,31,0.009587146
3,32,0.001835263
3,33,0.002515729
3,34,0.003328822
3,35,0.000991904
3,36,0.004747264
3,37,0.003650363
3,38,0.000295238
3,39,0.001818667
4,5,0.044620456
4,6,0.036442288
4,7,0.01539192
4,8,0.009192306
4,9,0.015173655
4,10,0.006535252
4,11,0.003033002
4,12,0.007992417
4,13,0.00565459
4,14,0.006164008
4,15,0.005164927
4,16,0.009394216
4,17,0.007490329
4,18,0.013652865
4,19,0.004142365
4,20,0.004405805
4,21,0.001937824
4,22,0.006040173
4,23,0.002448284
4,24,0.001879886
4,25,0.007264651
4,26,0.002380309
4,27,0.00214555
4,28,0.002591162
4,29,0.006775967
4,30,0.003166669
4,31,0.011333097
4,32,0.002972569
4,33,0.00536588
4,34,0.000113155
4,35,0.002085412
4,36,0.000579024
4,37,0.000713368
4,38,0.000469532
4,39,0.002550316
5,6,0.384322177
5,7,0.037911136
5,8,0.020380175
5,9,0.026738504
5,10,0.016489233
5,11,0.002534875
5,12,0.003532773
5,13,0.008544365
5,14,0.004943376
5,15,0.005873555
5,16,0.007578865
5,17,0.009554517
5,18,0.00899072
5,19,0.021785449
5,20,0.001907707
5,21,0.004088726
5,22,0.003878627
5,23,0.002011553
5,24,0.003849401
5,25,0.003430723
5,26,0.001698646
5,27,0.002461528
5,28,0.007434309
5,29,0.00212919
5,30,0.00199284
5,31,0.005277377
5,32,0.00452403
5,33,0.009974023
5,34,0.001250727
5,35,0.0015992
5,36,0.000522239
5,37,0.006674664
5,38,0.002032979
5,39,0.002884459
6,7,0.005433684
6,8,0.002376455
6,9,0.0065175
6,10,0.026111431
6,11,0.011014748
6,12,0.017747363
6,13,0.011909064
6,14,0.003637824
6,15,0.001216626
6,16,0.003606924
6,17,0.004311693
6,18,0.010796826
6,19,0.004127829
6,20,0.003079309
6,21,0.004510912
6,22,0.004414165
6,23,0.002947085
6,24,0.01808952
6,25,0.004945843
6,26,0.002455349
6,27,0.004642912
6,28,0.004327624
6,29,0.002520666
6,30,0.006543554
6,31,0.026463019
6,32,0.00145049
6,33,0.008755971
6,34,0.000563354
6,35,0.002123418
6,36,0.00141404
6,37,0.002395288
6,38,0.001098252
6,39,0.001160043
7,8,0.053129906
7,9,0.011465106
7,10,0.005815088
7,11,0.01767969
7,12,0.00885019
7,13,0.010938357
7,14,0.002259712
7,15,0.012435391
7,16,0.003756438
7,17,0.005334906
7,18,0.006890666
7,19,0.011360511
7,20,0.015180452
7,21,0.00466419
7,22,0.005835043
7,23,0.002938582
7,24,0.005385615
7,25,0.005447741
7,26,0.001998643
7,27,0.003643701
7,28,0.001368561
7,29,0.001729221
7,30,0.014459609
7,31,0.007425259
7,32,0.002575307
7,33,0.003097097
7,34,0.002468985
7,35,0.001994799
7,36,0.001081954
7,37,0.000763519
7,38,0.001692756
7,39,0.000547115
8,9,0.028780321
8,10,0.012822861
8,11,0.007882463
8,12,0.002183078
8,13,0.010727085
8,14,0.011653142
8,15,0.008155249
8,16,0.005833414
8,17,0.008524384
8,18,0.003121915
8,19,0.006733798
8,20,0.003663958
8,21,0.004775455
8,22,0.003761084
8,23,0.0054513
8,24,0.020673786
8,25,0.004109716
8,26,0.00333474
8,27,0.002332856
8,28,0.002539235
8,29,0.010924573
8,30,0.00670832
8,31,0.004212658
8,32,0.000633786
8,33,0.007322634
8,34,0.000295028
8,35,0.002261887
8,36,0.000703309
8,37,0.001360469
8,38,0.003202447
8,39,0.001604651
9,10,0.013380972
9,11,0.005209099
9,12,0.067391316
9,13,0.01884571
9,14,0.018268371
9,15,0.0285213
9,16,0.004468648
9,17,0.01744509
9,18,0.002574688
9,19,0.004991368
9,20,0.002461097
9,21,0.011082898
9,22,0.005385977
9,23,0.001184425
9,24,0.001808102
9,25,0.003432803
9,26,0.006340835
9,27,0.004168743
9,28,0.00467082
9,29,0.002330309
9,30,0.003086505
9,31,0.011933488
9,32,0.001769655
9,33,0.002635134
9,34,0.001282722
9,35,0.002380901
9,36,0.001062923
9,37,0.001737355
9,38,0.001520109
9,39,0.000648801
10,11,0.013920236
10,12,0.78237263
10,13,0.013321607
10,14,0.002459466
10,15,0.008163567
10,16,0.015865499
10,17,0.004349892
10,18,0.018160583
10,19,0.005973039
10,20,0.006844905
10,21,0.008711205
10,22,0.001391493
10,23,0.00632146
10,24,0.003123246
10,25,0.006957314
10,26,0.002054556
10,27,0.001724844
10,28,0.001494997
10,29,0.002676377
10,30,0.003148142
10,31,0.006021625
10,32,0.0009093
10,33,0.005147216
10,34,0.003336686
10,35,0.000988503
10,36,0.001082732
10,37,0.001927465
10,38,0.003638515
10,39,0.00071824
11,12,0.081982536
11,13,0.003196512
11,14,0.00607001
11,15,0.006610042
11,16,0.007728594
11,17,0.002963175
11,18,0.008690311
11,19,0.004093189
11,20,0.009261382
11,21,0.005591253
11,22,0.007828131
11,23,0.001417034
11,24,0.002295491
11,25,0.000861616
11,26,0.00207717
11,27,0.000769897
11,28,0.003931789
11,29,0.00776068
11,30,0.001401614
11,31,0.001737836
11,32,0.001566056
11,33,0.001694116
11,34,0.000922532
11,35,0.001756679
11,36,0.002446692
11,37,0.001434352
11,38,0.000348312
11,39,0.000551478
12,13,0.015489001
12,14,0.005815159
12,15,0.013603973
12,16,0.006388375
12,17,0.003504405
12,18,0.012266326
12,19,0.0051799
12,20,0.004110944
12,21,0.004003055
12,22,0.025961103
12,23,0.012879566
12,24,0.00060321
12,25,0.001010113
12,26,0.000451686
12,27,0.003228395
12,28,0.000852502
12,29,0.011542347
12,30,0.005379507
12,31,0.004790015
12,32,0.000897391
12,33,0.001238378
12,34,0.00300172
12,35,6.13064E-05
12,36,0.000254737
12,37,0.001068787
12,38,0.002397564
12,39,0.000644413
13,14,0.031236612
13,15,0.033120919
13,16,0.013829744
13,17,0.015163307
13,18,0.003834662
13,19,0.003751082
13,20,0.002760055
13,21,0.003331835
13,22,0.005066592
13,23,0.026425175
13,24,0.00868499
13,25,0.002419571
13,26,0.001492799
13,27,0.001618871
13,28,0.002814664
13,29,0.001446735
13,30,0.001034673
13,31,0.003757623
13,32,0.004242053
13,33,0.013958364
13,34,0.003594342
13,35,0.001591666
13,36,0.001670626
13,37,7.7803E-05
13,38,0.001484733
13,39,0.00011492
14,15,0.025171403
14,16,0.008844629
14,17,0.00755116
14,18,0.009664811
14,19,0.039500799
14,20,0.0628424
14,21,0.003421714
14,22,0.008350836
14,23,0.003427992
14,24,0.001593388
14,25,0.002352632
14,26,0.001592188
14,27,0.00136824
14,28,0.003290827
14,29,0.001145539
14,30,0.002859805
14,31,0.012115717
14,32,0.031687661
14,33,0.004051767
14,34,0.001606604
14,35,0.002053584
14,36,0.001630362
14,37,0.00125564
14,38,0.000335568
14,39,0.00020294
15,16,0.058909695
15,17,0.018273997
15,18,0.01675104
15,19,0.002502245
15,20,0.00255464
15,21,0.001291795
15,22,0.003505389
15,23,0.001997388
15,24,0.00428644
15,25,0.001762539
15,26,0.002257134
15,27,0.001881121
15,28,0.005095748
15,29,0.005697559
15,30,0.002028705
15,31,0.003429812
15,32,0.002188059
15,33,0.004115591
15,34,0.001120953
15,35,0.000639115
15,36,0.000185995
15,37,0.001343434
15,38,0.003126225
15,39,0.000279764
16,17,0.007396699
16,18,0.00659926
16,19,0.000856944
16,20,0.004420579
16,21,0.004592936
16,22,0.001234162
16,23,0.001904112
16,24,0.004954243
16,25,0.002222949
16,26,0.001326522
16,27,0.00137845
16,28,0.000933423
16,29,0.000542894
16,30,0.002947828
16,31,0.002363959
16,32,0.000497491
16,33,0.003726561
16,34,0.001185095
16,35,0.00269326
16,36,0.004542353
16,37,0.000557829
16,38,0.002234273
16,39,0.002497447
17,18,0.014447411
17,19,0.004529874
17,20,0.004898035
17,21,0.001789421
17,22,0.007379365
17,23,0.016270033
17,24,0.007695501
17,25,0.006099731
17,26,0.000558038
17,27,0.003704546
17,28,0.004037444
17,29,0.004746225
17,30,0.002159031
17,31,0.005660924
17,32,0.002606775
17,33,0.001905418
17,34,0.000712996
17,35,0.003211403
17,36,0.001892412
17,37,0.001137751
17,38,0.000841441
17,39,0.001208926
18,19,0.001471959
18,20,0.002755753
18,21,0.002679672
18,22,0.004679126
18,23,0.003337945
18,24,0.002355964
18,25,0.004479083
18,26,0.001094265
18,27,0.003111665
18,28,0.000761489
18,29,0.00681835
18,30,0.001778208
18,31,0.006403358
18,32,0.001972249
18,33,0.00685013
18,34,0.000378126
18,35,0.000523123
18,36,0.001488904
18,37,0.002738852
18,38,0.000410027
18,39,0.006948979
19,20,0.022826013
19,21,0.015003324
19,22,0.00949202
19,23,0.017520176
19,24,0.003407482
19,25,0.007302875
19,26,0.005610528
19,27,0.016598737
